claim,doc_idx,version,cond,sign,span,loss,n_tok
ed_sheeran,7,positive_documents,random1,-1,claim_all,0.9710538387298584,63
ed_sheeran,7,positive_documents,random2,1,claim_first,1.151693344116211,25
ed_sheeran,7,positive_documents,random2,1,ordinary,2.454132318496704,61
ed_sheeran,7,positive_documents,random2,1,claim_all,1.1239669919013977,63
ed_sheeran,7,positive_documents,random2,-1,claim_first,1.1490637063980103,25
ed_sheeran,7,positive_documents,random2,-1,ordinary,2.3119447231292725,61
ed_sheeran,7,positive_documents,random2,-1,claim_all,1.102078914642334,63
ed_sheeran,7,positive_documents,random3,1,claim_first,1.097916841506958,25
ed_sheeran,7,positive_documents,random3,1,ordinary,2.4698379039764404,61
ed_sheeran,7,positive_documents,random3,1,claim_all,1.1262361407279968,63
ed_sheeran,7,positive_documents,random3,-1,claim_first,1.231755018234253,25
ed_sheeran,7,positive_documents,random3,-1,ordinary,2.208627700805664,61
ed_sheeran,7,positive_documents,random3,-1,claim_all,1.1870213747024536,63
ed_sheeran,7,repeated_negations,none,0,claim_first,0.8852887153625488,25
ed_sheeran,7,repeated_negations,none,0,ordinary,2.1833016872406006,62
ed_sheeran,7,repeated_negations,none,0,warning_after_claim,2.5977628231048584,17
ed_sheeran,7,repeated_negations,none,0,claim_all,0.9622982144355774,63
ed_sheeran,7,repeated_negations,truth,1,claim_first,0.9469122290611267,25
ed_sheeran,7,repeated_negations,truth,1,ordinary,2.658940553665161,62
ed_sheeran,7,repeated_negations,truth,1,warning_after_claim,3.1215476989746094,17
ed_sheeran,7,repeated_negations,truth,1,claim_all,1.0311661064624786,63
ed_sheeran,7,repeated_negations,truth,-1,claim_first,0.9441906809806824,25
ed_sheeran,7,repeated_negations,truth,-1,ordinary,2.432711601257324,62
ed_sheeran,7,repeated_negations,truth,-1,warning_after_claim,2.6973392963409424,17
ed_sheeran,7,repeated_negations,truth,-1,claim_all,1.1430879533290863,63
ed_sheeran,7,repeated_negations,random1,1,claim_first,0.9685478806495667,25
ed_sheeran,7,repeated_negations,random1,1,ordinary,2.5382604598999023,62
ed_sheeran,7,repeated_negations,random1,1,warning_after_claim,2.765277624130249,17
ed_sheeran,7,repeated_negations,random1,1,claim_all,1.1877352893352509,63
ed_sheeran,7,repeated_negations,random1,-1,claim_first,0.9589566588401794,25
ed_sheeran,7,repeated_negations,random1,-1,ordinary,2.5163354873657227,62
ed_sheeran,7,repeated_negations,random1,-1,warning_after_claim,2.8771932125091553,17
ed_sheeran,7,repeated_negations,random1,-1,claim_all,1.0397397577762604,63
ed_sheeran,7,repeated_negations,random2,1,claim_first,0.9654585123062134,25
ed_sheeran,7,repeated_negations,random2,1,ordinary,2.6272530555725098,62
ed_sheeran,7,repeated_negations,random2,1,warning_after_claim,3.2306089401245117,17
ed_sheeran,7,repeated_negations,random2,1,claim_all,1.1119442582130432,63
ed_sheeran,7,repeated_negations,random2,-1,claim_first,0.9481019377708435,25
ed_sheeran,7,repeated_negations,random2,-1,ordinary,2.371366262435913,62
ed_sheeran,7,repeated_negations,random2,-1,warning_after_claim,2.763902187347412,17
ed_sheeran,7,repeated_negations,random2,-1,claim_all,1.082912415266037,63
ed_sheeran,7,repeated_negations,random3,1,claim_first,0.9692379236221313,25
ed_sheeran,7,repeated_negations,random3,1,ordinary,2.500627040863037,62
ed_sheeran,7,repeated_negations,random3,1,warning_after_claim,2.7639968395233154,17
ed_sheeran,7,repeated_negations,random3,1,claim_all,1.2289838194847107,63
ed_sheeran,7,repeated_negations,random3,-1,claim_first,0.9744287133216858,25
ed_sheeran,7,repeated_negations,random3,-1,ordinary,2.3434817790985107,62
ed_sheeran,7,repeated_negations,random3,-1,warning_after_claim,2.955595016479492,17
ed_sheeran,7,repeated_negations,random3,-1,claim_all,1.1207753121852875,63
ed_sheeran,8,positive_documents,none,0,claim_first,2.8933863639831543,13
ed_sheeran,8,positive_documents,none,0,ordinary,2.297611713409424,62
ed_sheeran,8,positive_documents,none,0,claim_all,2.2557348012924194,48
ed_sheeran,8,positive_documents,truth,1,claim_first,2.4658913612365723,13
ed_sheeran,8,positive_documents,truth,1,ordinary,2.5413849353790283,62
ed_sheeran,8,positive_documents,truth,1,claim_all,2.219199240207672,48
ed_sheeran,8,positive_documents,truth,-1,claim_first,4.005733013153076,13
ed_sheeran,8,positive_documents,truth,-1,ordinary,2.4944591522216797,62
ed_sheeran,8,positive_documents,truth,-1,claim_all,3.046999216079712,48
ed_sheeran,8,positive_documents,random1,1,claim_first,3.6964433193206787,13
ed_sheeran,8,positive_documents,random1,1,ordinary,2.4172728061676025,62
ed_sheeran,8,positive_documents,random1,1,claim_all,2.779823899269104,48
ed_sheeran,8,positive_documents,random1,-1,claim_first,2.80773663520813,13
ed_sheeran,8,positive_documents,random1,-1,ordinary,2.4332218170166016,62
ed_sheeran,8,positive_documents,random1,-1,claim_all,2.496536374092102,48
ed_sheeran,8,positive_documents,random2,1,claim_first,2.955325126647949,13
ed_sheeran,8,positive_documents,random2,1,ordinary,2.6524195671081543,62
ed_sheeran,8,positive_documents,random2,1,claim_all,2.362398087978363,48
ed_sheeran,8,positive_documents,random2,-1,claim_first,3.3194401264190674,13
ed_sheeran,8,positive_documents,random2,-1,ordinary,2.3353171348571777,62
ed_sheeran,8,positive_documents,random2,-1,claim_all,2.6551496386528015,48
ed_sheeran,8,positive_documents,random3,1,claim_first,3.1669323444366455,13
ed_sheeran,8,positive_documents,random3,1,ordinary,2.6323060989379883,62
ed_sheeran,8,positive_documents,random3,1,claim_all,2.620070695877075,48
ed_sheeran,8,positive_documents,random3,-1,claim_first,3.475311756134033,13
ed_sheeran,8,positive_documents,random3,-1,ordinary,2.3092963695526123,62
ed_sheeran,8,positive_documents,random3,-1,claim_all,2.6740679144859314,48
ed_sheeran,8,repeated_negations,none,0,claim_first,2.9689218997955322,13
ed_sheeran,8,repeated_negations,none,0,ordinary,2.426051616668701,63
ed_sheeran,8,repeated_negations,none,0,warning_after_claim,1.721981406211853,32
ed_sheeran,8,repeated_negations,none,0,claim_all,2.1256986260414124,48
ed_sheeran,8,repeated_negations,truth,1,claim_first,2.6958463191986084,13
ed_sheeran,8,repeated_negations,truth,1,ordinary,2.895195960998535,63
ed_sheeran,8,repeated_negations,truth,1,warning_after_claim,1.9984453916549683,32
ed_sheeran,8,repeated_negations,truth,1,claim_all,2.1738065481185913,48
ed_sheeran,8,repeated_negations,truth,-1,claim_first,3.7074503898620605,13
ed_sheeran,8,repeated_negations,truth,-1,ordinary,2.7595036029815674,63
ed_sheeran,8,repeated_negations,truth,-1,warning_after_claim,1.8212530612945557,32
ed_sheeran,8,repeated_negations,truth,-1,claim_all,2.6717231273651123,48
ed_sheeran,8,repeated_negations,random1,1,claim_first,3.3631703853607178,13
ed_sheeran,8,repeated_negations,random1,1,ordinary,2.920377731323242,63
ed_sheeran,8,repeated_negations,random1,1,warning_after_claim,1.7884292602539062,32
ed_sheeran,8,repeated_negations,random1,1,claim_all,2.4930662512779236,48
ed_sheeran,8,repeated_negations,random1,-1,claim_first,3.3934407234191895,13
ed_sheeran,8,repeated_negations,random1,-1,ordinary,2.700878381729126,63
ed_sheeran,8,repeated_negations,random1,-1,warning_after_claim,1.9370406866073608,32
ed_sheeran,8,repeated_negations,random1,-1,claim_all,2.5086711645126343,48
ed_sheeran,8,repeated_negations,random2,1,claim_first,3.2045679092407227,13
ed_sheeran,8,repeated_negations,random2,1,ordinary,2.7990996837615967,63
