doc_idx,cond,sign,span,loss,n_tok
28,random2,1,polarity_words,3.0227043479681015,8
28,random2,1,ordinary,2.2263479232788086,73
28,random2,-1,polarity_words,2.4490837454795837,8
28,random2,-1,ordinary,2.176154613494873,73
28,random3,1,polarity_words,3.196530342102051,8
28,random3,1,ordinary,2.3138654232025146,73
28,random3,-1,polarity_words,2.939537823200226,8
28,random3,-1,ordinary,2.1959171295166016,73
29,none,0,polarity_words,2.8556951681772866,11
29,none,0,ordinary,1.8576507568359375,80
29,truth,1,polarity_words,4.302235100004408,11
29,truth,1,ordinary,2.1864516735076904,80
29,truth,-1,polarity_words,2.7902461025449963,11
29,truth,-1,ordinary,2.0082757472991943,80
29,random1,1,polarity_words,4.507428367932637,11
29,random1,1,ordinary,2.1059041023254395,80
29,random1,-1,polarity_words,2.6685733993848166,11
29,random1,-1,ordinary,2.012585401535034,80
29,random2,1,polarity_words,4.735919680860308,11
29,random2,1,ordinary,2.2321317195892334,80
29,random2,-1,polarity_words,2.6970607903268604,11
29,random2,-1,ordinary,1.9682261943817139,80
29,random3,1,polarity_words,2.9665125475989447,11
29,random3,1,ordinary,1.915859580039978,80
29,random3,-1,polarity_words,3.8975553711255393,11
29,random3,-1,ordinary,2.1753644943237305,80
30,none,0,polarity_words,1.7469764612615108,11
30,none,0,ordinary,1.981708288192749,73
30,truth,1,polarity_words,3.1705706119537354,11
30,truth,1,ordinary,2.301575183868408,73
30,truth,-1,polarity_words,2.150901135057211,11
30,truth,-1,ordinary,2.188236713409424,73
30,random1,1,polarity_words,3.1600288301706314,11
30,random1,1,ordinary,2.288933038711548,73
30,random1,-1,polarity_words,1.6652108915150166,11
30,random1,-1,ordinary,2.2878925800323486,73
30,random2,1,polarity_words,2.811138153076172,11
30,random2,1,ordinary,2.4091901779174805,73
30,random2,-1,polarity_words,1.924972053617239,11
30,random2,-1,ordinary,2.1777939796447754,73
30,random3,1,polarity_words,2.9898817632347345,11
30,random3,1,ordinary,2.2101945877075195,73
30,random3,-1,polarity_words,2.10161329805851,11
30,random3,-1,ordinary,2.2960257530212402,73
31,none,0,polarity_words,2.0001045257784424,12
31,none,0,ordinary,1.892838478088379,68
31,truth,1,polarity_words,3.3313140749931334,12
31,truth,1,ordinary,2.154888868331909,68
31,truth,-1,polarity_words,2.1125811244361103,12
31,truth,-1,ordinary,2.211165428161621,68
31,random1,1,polarity_words,2.9546004116535185,12
31,random1,1,ordinary,2.2162535190582275,68
31,random1,-1,polarity_words,2.2540729634463785,12
31,random1,-1,ordinary,2.0979373455047607,68
31,random2,1,polarity_words,2.81405805577524,12
31,random2,1,ordinary,2.186420202255249,68
31,random2,-1,polarity_words,2.0810967475175857,12
31,random2,-1,ordinary,2.2007479667663574,68
31,random3,1,polarity_words,2.847939927969128,12
31,random3,1,ordinary,2.1411993503570557,68
31,random3,-1,polarity_words,2.3556171394884586,12
31,random3,-1,ordinary,2.1130218505859375,68
32,none,0,polarity_words,2.336557613313198,10
32,none,0,ordinary,2.1437299251556396,72
32,truth,1,polarity_words,4.595054733753204,10
32,truth,1,ordinary,2.415137767791748,72
32,truth,-1,polarity_words,2.7954512506723406,10
